OBJECTID,gridcode,pkey,longitude,latitude
391,20719,20719,-47.2500000,81.7500000
392,20812,20812,-46.7500000,81.7500000
393,20905,20905,-46.2500000,81.7500000
394,20997,20997,-45.7500000,81.7500000
395,21090,21090,-45.2500000,81.7500000
396,21182,21182,-44.7500000,81.7500000
397,21273,21273,-44.2500000,81.7500000
398,21363,21363,-43.7500000,81.7500000
399,21454,21454,-43.2500000,81.7500000
400,21541,21541,-42.7500000,81.7500000
401,21627,21627,-42.2500000,81.7500000
402,21709,21709,-41.7500000,81.7500000
403,21792,21792,-41.2500000,81.7500000
404,21872,21872,-40.7500000,81.7500000
405,21946,21946,-40.2500000,81.7500000
406,22018,22018,-39.7500000,81.7500000
407,22084,22084,-39.2500000,81.7500000
408,22145,22145,-38.7500000,81.7500000
409,22201,22201,-38.2500000,81.7500000
410,22256,22256,-37.7500000,81.7500000
411,22308,22308,-37.2500000,81.7500000
412,22358,22358,-36.7500000,81.7500000
413,22408,22408,-36.2500000,81.7500000
414,22456,22456,-35.7500000,81.7500000
415,22502,22502,-35.2500000,81.7500000
416,22541,22541,-34.7500000,81.7500000
417,22576,22576,-34.2500000,81.7500000
418,22611,22611,-33.7500000,81.7500000
419,22647,22647,-33.2500000,81.7500000
420,22682,22682,-32.7500000,81.7500000
421,22716,22716,-32.2500000,81.7500000
422,22748,22748,-31.7500000,81.7500000
423,22782,22782,-31.2500000,81.7500000
424,22814,22814,-30.7500000,81.7500000
425,22846,22846,-30.2500000,81.7500000
426,22878,22878,-29.7500000,81.7500000
427,22912,22912,-29.2500000,81.7500000
428,22946,22946,-28.7500000,81.7500000
429,22979,22979,-28.2500000,81.7500000
430,23010,23010,-27.7500000,81.7500000
431,23041,23041,-27.2500000,81.7500000
432,23071,23071,-26.7500000,81.7500000
433,23101,23101,-26.2500000,81.7500000
434,23132,23132,-25.7500000,81.7500000
435,23166,23166,-25.2500000,81.7500000
436,23197,23197,-24.7500000,81.7500000
437,23231,23231,-24.2500000,81.7500000
438,23264,23264,-23.7500000,81.7500000
439,23298,23298,-23.2500000,81.7500000
440,23334,23334,-22.7500000,81.7500000
441,23367,23367,-22.2500000,81.7500000
442,23397,23397,-21.7500000,81.7500000
443,23422,23422,-21.2500000,81.7500000
444,23447,23447,-20.7500000,81.7500000
445,23474,23474,-20.2500000,81.7500000
446,23499,23499,-19.7500000,81.7500000
447,23523,23523,-19.2500000,81.7500000
448,23543,23543,-18.7500000,81.7500000
449,23564,23564,-18.2500000,81.7500000
450,23582,23582,-17.7500000,81.7500000
451,23598,23598,-17.2500000,81.7500000
452,23624,23624,-16.7500000,81.7500000
453,23662,23662,-16.2500000,81.7500000
454,23701,23701,-15.7500000,81.7500000
455,23739,23739,-15.2500000,81.7500000
456,23779,23779,-14.7500000,81.7500000
457,23821,23821,-14.2500000,81.7500000
458,23865,23865,-13.7500000,81.7500000
459,23908,23908,-13.2500000,81.7500000
460,23952,23952,-12.7500000,81.7500000
461,23998,23998,-12.2500000,81.7500000
462,24044,24044,-11.7500000,81.7500000
463,43223,43223,57.7500000,81.7500000
464,43328,43328,58.2500000,81.7500000
465,43433,43433,58.7500000,81.7500000
466,43535,43535,59.2500000,81.7500000
467,44115,44115,62.2500000,81.7500000
468,44209,44209,62.7500000,81.7500000
