INPUT_TABLE
Variable ID
RenewRsrcCurves

region,renewresource,sub.renewable.resource,grade,available,extractioncost
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade16,0.7148,4.01483952093603
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade17,0.7861,5.32308043250024
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade18,0.8574,6.76814383556683
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade19,0.9287,8.33284520108401
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,runoff,grade20,1,10
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade2,0.0638888888888889,1.1358024691358e-05
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade3,0.127777777777778,2.08641975308642e-05
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade4,0.191666666666667,4.66666666666667e-05
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade5,0.255555555555556,9.69135802469136e-05
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade6,0.319444444444444,0.000179753086419753
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade7,0.383333333333333,0.000303333333333333
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade8,0.447222222222222,0.000475802469135802
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade9,0.511111111111111,0.000705308641975309
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade10,0.575,0.001
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade11,0.6175,0.152915436510869
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade12,0.66,0.58523253947826
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade13,0.7025,1.26346606427174
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade14,0.745,2.15313076626087
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade15,0.7875,3.21974140081522
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade16,0.83,4.42881272330435
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade17,0.8725,5.74585948909783
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade18,0.915,7.13639645356522
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade19,0.9575,8.56593837207608
Africa_Southern,Africa-South Interior-water withdrawals,runoff,grade20,1,9.99999999999999
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade2,0.0604444444444444,1.1358024691358e-05
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade3,0.120888888888889,2.08641975308642e-05
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade4,0.181333333333333,4.66666666666667e-05
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade5,0.241777777777778,9.69135802469136e-05
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade6,0.302222222222222,0.000179753086419753
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade7,0.362666666666667,0.000303333333333333
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade8,0.423111111111111,0.000475802469135802
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade9,0.483555555555556,0.000705308641975309
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade10,0.544,0.001
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade11,0.5896,0.150150163981176
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade12,0.6352,0.575353364743529
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade13,0.6808,1.24398553316235
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade14,0.7264,2.12342260011294
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade15,0.772,3.18104049647059
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade16,0.8176,4.38421515311059
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade17,0.8632,5.70032250090823
